plant_id,accession,accession_slug,treatment,replicate,dag_drought_onset,drought_category,fw_g,dw_g,image_side_dir,image_top_dir,available_timepoints,num_images_side,num_images_top,is_dead
24_FabaDr_001,Aurora/2,Aurora_2,WHC-80,1,,,169.76999999999998,18.060000000000002,data/img/side_view/Acc-01 - Aurora_2/WHC-80%/Rep-1 - 24_FabaDr_001,data/img/top_view/Acc-01 - Aurora_2/WHC-80%/Rep-1 - 24_FabaDr_001,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_002,Aurora/2,Aurora_2,WHC-80,2,,,101.07,10.989999999999998,data/img/side_view/Acc-01 - Aurora_2/WHC-80%/Rep-2 - 24_FabaDr_002,data/img/top_view/Acc-01 - Aurora_2/WHC-80%/Rep-2 - 24_FabaDr_002,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_003,Aurora/2,Aurora_2,WHC-80,3,,,133.76999999999998,13.86,data/img/side_view/Acc-01 - Aurora_2/WHC-80%/Rep-3 - 24_FabaDr_003,data/img/top_view/Acc-01 - Aurora_2/WHC-80%/Rep-3 - 24_FabaDr_003,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_004,Aurora/2,Aurora_2,WHC-30,1,28.0,Mid,69.88,7.679999999999998,data/img/side_view/Acc-01 - Aurora_2/WHC-30%/Rep-1 - 24_FabaDr_004,data/img/top_view/Acc-01 - Aurora_2/WHC-30%/Rep-1 - 24_FabaDr_004,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_005,Aurora/2,Aurora_2,WHC-30,2,28.0,Mid,57.08,6.830000000000002,data/img/side_view/Acc-01 - Aurora_2/WHC-30%/Rep-2 - 24_FabaDr_005,data/img/top_view/Acc-01 - Aurora_2/WHC-30%/Rep-2 - 24_FabaDr_005,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_006,Aurora/2,Aurora_2,WHC-30,3,28.0,Mid,58.85000000000001,5.890000000000001,data/img/side_view/Acc-01 - Aurora_2/WHC-30%/Rep-3 - 24_FabaDr_006,data/img/top_view/Acc-01 - Aurora_2/WHC-30%/Rep-3 - 24_FabaDr_006,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_007,Mélodie/2,Mélodie_2,WHC-80,1,,,154.25,14.139999999999999,data/img/side_view/Acc-02 - Mélodie_2/WHC-80%/Rep-1 - 24_FabaDr_007,data/img/top_view/Acc-02 - Mélodie_2/WHC-80%/Rep-1 - 24_FabaDr_007,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_008,Mélodie/2,Mélodie_2,WHC-80,2,,,159.85000000000002,17.119999999999997,data/img/side_view/Acc-02 - Mélodie_2/WHC-80%/Rep-2 - 24_FabaDr_008,data/img/top_view/Acc-02 - Mélodie_2/WHC-80%/Rep-2 - 24_FabaDr_008,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22, 23]",36,12,False
24_FabaDr_009,Mélodie/2,Mélodie_2,WHC-80,3,,,110.83000000000001,10.450000000000001,data/img/side_view/Acc-02 - Mélodie_2/WHC-80%/Rep-3 - 24_FabaDr_009,data/img/top_view/Acc-02 - Mélodie_2/WHC-80%/Rep-3 - 24_FabaDr_009,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_010,Mélodie/2,Mélodie_2,WHC-30,1,28.0,Mid,61.62,6.630000000000001,data/img/side_view/Acc-02 - Mélodie_2/WHC-30%/Rep-1 - 24_FabaDr_010,data/img/top_view/Acc-02 - Mélodie_2/WHC-30%/Rep-1 - 24_FabaDr_010,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_011,Mélodie/2,Mélodie_2,WHC-30,2,28.0,Mid,73.74,7.98,data/img/side_view/Acc-02 - Mélodie_2/WHC-30%/Rep-2 - 24_FabaDr_011,data/img/top_view/Acc-02 - Mélodie_2/WHC-30%/Rep-2 - 24_FabaDr_011,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22, 23]",36,12,False
24_FabaDr_012,Mélodie/2,Mélodie_2,WHC-30,3,28.0,Mid,67.17,6.470000000000001,data/img/side_view/Acc-02 - Mélodie_2/WHC-30%/Rep-3 - 24_FabaDr_012,data/img/top_view/Acc-02 - Mélodie_2/WHC-30%/Rep-3 - 24_FabaDr_012,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_013,ILB 938/2,ILB 938_2,WHC-80,1,,,124.92999999999999,14.540000000000001,data/img/side_view/Acc-03 - ILB 938_2/WHC-80%/Rep-1 - 24_FabaDr_013,data/img/top_view/Acc-03 - ILB 938_2/WHC-80%/Rep-1 - 24_FabaDr_013,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_014,ILB 938/2,ILB 938_2,WHC-80,2,,,128.1,12.74,data/img/side_view/Acc-03 - ILB 938_2/WHC-80%/Rep-2 - 24_FabaDr_014,data/img/top_view/Acc-03 - ILB 938_2/WHC-80%/Rep-2 - 24_FabaDr_014,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_015,ILB 938/2,ILB 938_2,WHC-80,3,,,139.87,14.120000000000001,data/img/side_view/Acc-03 - ILB 938_2/WHC-80%/Rep-3 - 24_FabaDr_015,data/img/top_view/Acc-03 - ILB 938_2/WHC-80%/Rep-3 - 24_FabaDr_015,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_016,ILB 938/2,ILB 938_2,WHC-30,1,13.0,Early,52.400000000000006,5.9300000000000015,data/img/side_view/Acc-03 - ILB 938_2/WHC-30%/Rep-1 - 24_FabaDr_016,data/img/top_view/Acc-03 - ILB 938_2/WHC-30%/Rep-1 - 24_FabaDr_016,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_017,ILB 938/2,ILB 938_2,WHC-30,2,13.0,Early,50.22,5.979999999999999,data/img/side_view/Acc-03 - ILB 938_2/WHC-30%/Rep-2 - 24_FabaDr_017,data/img/top_view/Acc-03 - ILB 938_2/WHC-30%/Rep-2 - 24_FabaDr_017,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 22]",33,11,False
24_FabaDr_018,ILB 938/2,ILB 938_2,WHC-30,3,13.0,Early,36.349999999999994,5.229999999999999,data/img/side_view/Acc-03 - ILB 938_2/WHC-30%/Rep-3 - 24_FabaDr_018,data/img/top_view/Acc-03 - ILB 938_2/WHC-30%/Rep-3 - 24_FabaDr_018,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_019,Birgit,Birgit,WHC-80,1,,,141.01,13.94,data/img/side_view/Acc-04 - Birgit/WHC-80%/Rep-1 - 24_FabaDr_019,data/img/top_view/Acc-04 - Birgit/WHC-80%/Rep-1 - 24_FabaDr_019,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
24_FabaDr_020,Birgit,Birgit,WHC-80,2,,,129.51,11.23,data/img/side_view/Acc-04 - Birgit/WHC-80%/Rep-2 - 24_FabaDr_020,data/img/top_view/Acc-04 - Birgit/WHC-80%/Rep-2 - 24_FabaDr_020,"[2, 4, 6, 8, 10, 12, 14, 15, 18, 20, 23]",33,11,False
24_FabaDr_021,Birgit,Birgit,WHC-80,3,,,157.17999999999998,16.509999999999998,data/img/side_view/Acc-04 - Birgit/WHC-80%/Rep-3 - 24_FabaDr_021,data/img/top_view/Acc-04 - Birgit/WHC-80%/Rep-3 - 24_FabaDr_021,"[2, 5, 6, 9, 10, 13, 14, 16, 18, 21, 23]",33,11,False
24_FabaDr_022,Birgit,Birgit,WHC-30,1,38.0,Late,92.77000000000001,9.0,data/img/side_view/Acc-04 - Birgit/WHC-30%/Rep-1 - 24_FabaDr_022,data/img/top_view/Acc-04 - Birgit/WHC-30%/Rep-1 - 24_FabaDr_022,"[2, 3, 6, 7, 10, 11, 14, 17, 18, 19, 23]",33,11,False
