round,dag,das,date,has_images,has_fluorescence,rep1_has_images,rep2_has_images,rep3_has_images
2,3,10,2024-10-14,True,False,True,True,True
3,5,12,2024-10-16,True,True,True,False,False
4,6,13,2024-10-17,True,True,False,True,False
5,7,14,2024-10-18,True,True,False,False,True
6,10,17,2024-10-21,True,False,True,True,True
7,12,19,2024-10-23,True,True,True,False,False
8,13,20,2024-10-24,True,True,False,True,False
9,14,21,2024-10-25,True,True,False,False,True
10,17,24,2024-10-28,True,False,True,True,True
11,19,26,2024-10-30,True,True,True,False,False
12,20,27,2024-10-31,True,True,False,True,False
13,21,28,2024-11-01,True,True,False,False,True
14,24,31,2024-11-04,True,False,True,True,True
15,27,34,2024-11-07,True,True,False,True,False
16,28,35,2024-11-08,True,True,False,False,True
17,29,36,2024-11-09,True,True,True,False,False
18,31,38,2024-11-11,True,False,True,True,True
19,33,40,2024-11-13,True,True,True,False,False
20,34,41,2024-11-14,True,True,False,True,False
21,35,42,2024-11-15,True,True,False,False,True
22,38,45,2024-11-18,True,False,False,True,False
23,38,45,2024-11-18,True,False,True,True,True
